96.90.175.67	OpenNIC CO
45.56.117.118	OpenNIC GA
104.238.153.178	OpenNIC WA
138.197.25.214	OpenNIC NY
208.67.222.222	OpenDNS 1
208.67.220.220	OpenDNS 2
8.8.8.8			Google A
8.8.4.4			Google B
84.200.69.80	DNSWatch.info 1
84.200.70.40	DNSWatch.info 2
209.244.0.3		Level3 1
209.244.0.4		Level3 2
4.2.2.1			Level3 A
4.2.2.2			Level3 B
4.2.2.3			Level3 C
4.2.2.4			Level3 D
77.88.8.8		Yandex 1
77.88.8.1		Yandex 2
80.80.80.80		FreeNOM 1
80.80.81.81		FreeNOM 2
37.235.1.174	FreeDNS	1
37.235.1.177	FreeDNS 2
216.146.35.35	DynDNS 1
216.146.36.36	DnyDNS 2
195.46.39.39	SafeDNS 1
195.46.39.40	SafeDNS 2
199.85.126.10	Norton ConnectSafe 1
199.85.127.10	Norton ConnectSafe 2
156.154.70.1	DNS Advantage 1
156.154.71.1	DNS Advantage 2
8.26.56.26		Comodo DNS 1
8.20.247.20		Comodo DNS 2
64.6.64.6		Verisign 1
64.6.65.6		Verisign 2
